neutral,@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site
neutral,"RT @rdingwell: .@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointmen ..."
neutral,"Hey @apple, androids releasing brand new state of the art phones, whens your new phone come out? What's that? (cont) http://t.co/2sko9l3d"
neutral,".@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf"
neutral,@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?
neutral,"Interesting read on war b/w @Apple & @Samsung- http://t.co/Vt9d24Yi -using latter, agree lack of innovation, but better specs at same price!"
neutral,RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...
neutral,The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget
neutral,Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.
neutral,"Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps"""
neutral,@apple expanded the app store to more than 20 new countries in the december quarter
neutral,@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.
neutral,Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie's robot daughter?
neutral,Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE
neutral,Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple
neutral,People are waiting in line @apple for phones at 1:30 on a Tuesday! Don't you people have Jobs(no pun intended?)???
neutral,"@Apple Would much rather get outta this having a ( see pic ) and have fun with this "" Have your friends choose music"" http://t.co/7IiHbr4J"
neutral,RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @phil ...
neutral,@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker
neutral,"If you've been struggling to get hold of me, I'm back online with a new iPhone - thanks @apple"
